YYMM,경상북도 군위군 ,전라남도 함평군 ,경상북도 청송군 ,충청남도 청양군 ,경상북도 영양군 ,전라남도 신안군 ,경상북도 의성군 ,경상남도 남해군 ,경상북도 봉화군 ,전라남도 보성군 ,충청북도 괴산군 ,경상남도 산청군 ,경상남도 합천군 ,경상남도 의령군 ,경상북도 예천군 ,전라북도 임실군 ,경상북도 영덕군 ,경상북도 청도군 ,전라남도 곡성군 ,전라남도 진도군 ,충청북도 보은군 ,전라남도 장흥군 ,충청남도 서천군 ,전라북도 순창군 
1509,8486,11249,8431,10138,5837,13721,19652,15625,10494,15165,11327,11473,16827,9466,14828,9456,12733,13847,9863,10108,10077,12488,17448,9154
1510,8469,11262,8437,10159,5845,13730,19633,15593,10511,15157,11341,11487,16842,9466,14817,9471,12737,13869,9846,10111,10094,12506,17459,9149
1511,8483,11256,8435,10153,5826,13748,19643,15587,10528,15178,11355,11513,16819,9458,14804,9501,12737,13865,9842,10125,10111,12541,17455,9165
1512,8511,11263,8434,10179,5832,13738,19653,15584,10551,15182,11454,11542,16888,9451,14793,9529,12743,13899,9862,10116,10124,12641,17453,9184
1601,8540,11267,8455,10198,5843,13758,19670,15596,10563,15212,11478,11542,16878,9452,14816,9531,12760,13933,9878,10135,10153,12589,17473,9173
1602,8544,11261,8460,10209,5849,13771,19665,15588,10596,15218,11471,11558,16896,9474,14833,9544,12774,13966,9881,10128,10178,12537,17485,9178
1603,8561,11268,8492,10206,5847,13778,19696,15594,10626,15223,11456,11588,16891,9494,14872,9526,12785,14024,9885,10129,10170,12552,17493,9181
1604,8548,11276,8510,10211,5841,13797,19698,15644,10616,15227,11453,11597,16878,9480,14898,9517,12802,14079,9886,10127,10170,12550,17496,9166
1605,8584,11296,8530,10218,5850,13803,19727,15680,10642,15250,11457,11608,16881,9465,14934,9507,12814,14108,9900,10114,10166,12564,17513,9168
1606,8595,11278,8542,10248,5853,13785,19713,15675,10634,15246,11453,11627,16910,9448,14945,9502,12818,14138,9903,10113,10172,12575,17513,9171
1607,8592,11286,8549,10260,5864,13791,19741,15678,10641,15282,11459,11625,16900,9456,14962,9492,12822,14163,9903,10118,10177,12563,17561,9171
